id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low
182769,MEX-2010-2-415-807,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"AP 14 Feb 2010 ""Hundreds march against drug gang violence in Mexican border city, simulate massacre of teens",,,,Police spokesman,5,Highway between Mexico City and Acapulco,"Highway connecting Mexico City to Acapulco, Guerrero",Guerrero state,,17.01342,-99.66007,POINT (-99.660070 17.013420),154241,Mexico,70,Americas,1,1,2010-02-13T00:00:00,2010-02-13T00:00:00,0,0,0,1,1,1,1
183087,MEX-2011-2-462-1122,2011,True,Clear,2,2-462,4980,Cartel Independiente de Acapulco - La Barredora,462,5590,Cartel Independiente de Acapulco - La Barredora,2037,1152,Cartel Independiente de Acapulco,2038,1153,La Barredora,-1,"AP 2 Oct 2011 ""Bullet-riddled bodies of 7 men found dumped in downtown of Pacific resort city",,,,Guerrero state police,1,Acapulco town,"Acapulco town, Guerrrero",Guerrero state,Acapulco de Juárez municipality,16.856933,-99.901496,POINT (-99.901496 16.856933),153521,Mexico,70,Americas,1,2,2011-10-01T00:00:00,2011-10-02T00:00:00,0,0,0,0,0,2,0
182772,MEX-2010-2-415-803,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 10 Jan 2010 ""Mexico deals with record number of murders in one day",,,,El Universal newspaper,4,Guerrero state,Guerrero state,Guerrero state,,17.666667,-100.0,POINT (-100.000000 17.666667),154961,Mexico,70,Americas,1,1,2010-01-09T00:00:00,2010-01-09T00:00:00,0,0,0,3,3,3,3
182773,MEX-2010-2-415-804,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 21 Jan 2010 ""7 Die in drug-related violence in Mexico",,,,Guerrero Public Safety Secretariat,1,Chilpancingo town,"Chilpancingo town, Guerrero",Guerrero state,Chilpancingo de los Bravo municipality,17.5506,-99.50578,POINT (-99.505780 17.550600),154961,Mexico,70,Americas,1,1,2010-01-19T00:00:00,2010-01-19T00:00:00,0,0,0,4,4,4,4
182774,MEX-2010-2-415-806,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 10 Feb 2010 ""4 Human heads found in Mexico",,,,Police spokesman,2,Altamirano town,"Lazaro Cardenas boulevard between Ciudad Altamirano and Coyuca de Catalan, Guerrero",Guerrero state,Pungarabato municipality,18.357103,-100.668322,POINT (-100.668322 18.357103),155679,Mexico,70,Americas,1,1,2010-02-09T00:00:00,2010-02-09T00:00:00,0,0,0,1,1,1,1
182775,MEX-2010-2-415-808,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 13 March 2010 ""Mexican port city of Acapulco hit by new spate of violence",,,,Public Safety Secretariat,1,Acapulco town,"Acapulco town, Guerrero",Guerrero state,Acapulco de Juárez municipality,16.856933,-99.901496,POINT (-99.901496 16.856933),153521,Mexico,70,Americas,1,1,2010-03-12T00:00:00,2010-03-12T00:00:00,0,0,0,8,8,8,8
182776,MEX-2010-2-415-809,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 15 March 2010 ""Mexican marines kill 8 gunmen in shootout",,,,,4,Guerrero state,Guerrero state,Guerrero state,,17.666667,-100.0,POINT (-100.000000 17.666667),154961,Mexico,70,Americas,2,2,2010-03-12T00:00:00,2010-03-14T00:00:00,0,0,0,11,11,27,11
182784,MEX-2010-2-415-817,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"AP 21 April 2010 ""Gunmen abduct 3 from hotel in northern Mexico",,,,Police spokesman,1,Acapulco town,"Acapulco town, Guerrero",Guerrero state,Acapulco de Juárez municipality,16.856933,-99.901496,POINT (-99.901496 16.856933),153521,Mexico,70,Americas,1,1,2010-04-20T00:00:00,2010-04-20T00:00:00,0,0,0,0,0,3,0
182777,MEX-2010-2-415-810,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 31 March 2010 ""31 Die in drug-related violence in Mexico",,,,Morelos state Attorney General's Office,5,Highway between Cuernavaca and Acapulco,"Cuernavaca-Acapulco federal highway, Morelos
",Morelos state,,18.5777,-99.2405,POINT (-99.240500 18.577700),156402,Mexico,70,Americas,1,1,2010-03-30T00:00:00,2010-03-30T00:00:00,0,0,0,4,4,4,4
182778,MEX-2010-2-415-811,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 31 March 2010 ""31 Die in drug-related violence in Mexico",,,,Morelos state Attorney General's Office,4,Morelos state,"Ahuatepec town, Morelos",Morelos state,,18.75,-99.0,POINT (-99.000000 18.750000),156403,Mexico,70,Americas,1,1,2010-03-30T00:00:00,2010-03-30T00:00:00,0,0,0,2,2,2,2
182779,MEX-2010-2-415-812,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"AP 3 April 2010 ""Nightclub shooting kills 7 in Mexican Gulf city besieged by drug-gang battles",,,,safety department,2,Highway between San Jose and Caridad,"highway between the towns of San Jose and Caridad, Guerrero",Guerrero state,San Marcos municipality,16.7457,-99.2629,POINT (-99.262900 16.745700),153522,Mexico,70,Americas,1,1,2010-04-02T00:00:00,2010-04-02T00:00:00,0,0,0,3,3,3,3
182780,MEX-2010-2-415-813,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"R 9 April 2010 ""Drug gang hangs two from bridge near Mexico City",,,,attorney general's office for Morelos state,1,Cuernavaca town,"Cuernavaca town, Morelos",Morelos state,Cuernavaca municipality,18.933725,-99.228488,POINT (-99.228488 18.933725),156402,Mexico,70,Americas,1,1,2010-04-09T00:00:00,2010-04-09T00:00:00,0,0,0,2,2,2,2
182782,MEX-2010-2-415-815,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"AP 17 April 2010 ""Calderon: Most Mexico drug war dead are criminals",,,,Police spokesman,1,Cuernavaca town,"Cuernavaca town, Morelos",Morelos state,Cuernavaca municipality,18.933725,-99.228488,POINT (-99.228488 18.933725),156402,Mexico,70,Americas,1,1,2010-04-16T00:00:00,2010-04-16T00:00:00,0,0,0,2,2,2,2
182783,MEX-2010-2-415-816,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"AP 21 April 2010 ""Gunmen abduct 3 from hotel in northern Mexico",,,,Police spokesman,1,Cuernavaca town,"Cuernavaca town, Morelos",Morelos state,Cuernavaca municipality,18.933725,-99.228488,POINT (-99.228488 18.933725),156402,Mexico,70,Americas,1,1,2010-04-21T00:00:00,2010-04-21T00:00:00,0,0,0,2,2,2,2
182785,MEX-2010-2-415-819,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 3 May 2010 ""27 Die in drug-related violence in Mexico",,,,Public Safety Secretariat,1,Xaltianguis town,"Xaltianguis town, Guerrero",Guerrero state,Acapulco de Juárez municipality,17.09869,-99.71532,POINT (-99.715320 17.098690),154241,Mexico,70,Americas,1,1,2010-05-02T00:00:00,2010-05-02T00:00:00,0,0,0,5,5,5,5
182786,MEX-2010-2-415-818,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"AP 28 April 2010 ""Getaway for Mexican elite now cartel battleground",,,,,1,Cuernavaca town,"Cuernavaca town, Morelos",Morelos state,Cuernavaca municipality,18.933725,-99.228488,POINT (-99.228488 18.933725),156402,Mexico,70,Americas,2,5,2010-01-01T00:00:00,2010-04-28T00:00:00,0,0,0,31,31,31,31
182787,MEX-2010-2-415-820,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 3 May 2010 ""27 Die in drug-related violence in Mexico",,,,Public Safety Secretariat,1,Apaxtla de Castrejon town,"Apaxtla de Castrejon town, Guerrero",Guerrero state,Apaxtla municipality,18.131271,-99.932546,POINT (-99.932546 18.131271),155681,Mexico,70,Americas,1,1,2010-05-02T00:00:00,2010-05-02T00:00:00,0,0,0,1,1,1,1
182788,MEX-2010-2-415-821,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 3 May 2010 ""27 Die in drug-related violence in Mexico",,,,Public Safety Secretariat,1,Tetipac town,"Tetipac town, Guerrero",Guerrero state,Tetipac municipality,18.64778,-99.64778,POINT (-99.647780 18.647780),156401,Mexico,70,Americas,1,1,2010-05-02T00:00:00,2010-05-02T00:00:00,0,0,0,1,1,1,1
182789,MEX-2010-2-415-822,2010,True,Clear,2,2-415,4934,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,415,5544,Beltrán Leyva Cartel - Beltrán Leyva Cartel - Valdez Villareal faction,1974,1089,Beltrán Leyva Cartel,1975,1090,Beltrán Leyva Cartel - Valdez Villareal faction,-1,"EFE 3 May 2010 ""27 Die in drug-related violence in Mexico",,,,Public Safety Secretariat,1,Acapulco town,"Acapulco town, Guerrero",Guerrero state,Acapulco de Juárez municipality,16.856933,-99.901496,POINT (-99.901496 16.856933),153521,Mexico,70,Americas,1,1,2010-05-02T00:00:00,2010-05-02T00:00:00,0,0,0,1,1,1,1
